GEOID,Female.,Age.5.65.,X.15property.,nodiploma.,X.livingalone,X.minority,X.unemployment,X.language,X.renthouse,Novehicle.,X.noinsurance,X.disability,X.computer,X.nointernet,X.nophone,comfa,comfanormal,facility,facilitynormal,NDVI,ndvi-,road,roadnormal,green,green-,X.building,health,,Zscore,,
40017301013,0.514162954,0.20973902,0.05471367,0.051677433,0.111736683,0.352482495,0.017984876,0.012774655,0.245560849,0.027518172,0.055295825,0.107528615,0.023819835,0.023819835,0.012126462,207.4417429,0.559662875,1052.400278,0.132028855,0.486617962,0.513382038,6.18E-04,0.026999892,0.567251462,0.432748538,0.131895515,0.028391114,3.646050207,-0.66137847,,
40017301014,0.475435203,0.196711799,0.035589942,0.132260704,0.076754386,0.315280464,0.051958024,0.048387097,0.26754386,0.01410061,0.071147024,0.112337406,0.032346491,0.092653509,0,211.1360592,0.728763901,555.1849744,0.06462821,0.479830511,0.520169489,3.58E-04,0.014266404,0.396731474,0.603268526,0.195344016,0.031333964,4.080281029,-0.198434472,,
40017301015,0.52661157,0.079669421,0.025123967,0.071248952,0,0.404628099,0.030889621,0.077742279,0.854166667,0.036425726,0.151404959,0.087272727,0,0.045,0.014166667,208.8008016,0.621871469,442.0329471,0.049289744,0.524269719,0.475730281,0.001121549,0.051661181,0.44591528,0.55408472,0.075861913,0,4.232849964,-0.035777036,,
40017301100,0.537199766,0.244288225,0.041247782,0.061262376,0.161556604,0.165055653,0.019650655,0.01357109,0.238600629,0.038259796,0.073181549,0.128622117,0.029481132,0.053066038,0.011792453,209.0136844,0.631615816,528.2241208,0.060973497,0.471907335,0.528092665,8.03E-04,0.036060259,0.336791148,0.663208852,0.10067485,0.029870566,3.86733237,-0.425464196,,
40017301301,0.589910496,0.193246542,0.074450773,0.118924509,0,0.447518308,0.017769003,0.007176024,0.032051282,0.008414239,0.015459723,0.036615134,0.013888889,0.199786325,0,205.2720185,0.460347442,3039.619025,0.401408791,0.569468607,0.430531393,0.001782627,0.084037446,0.821668806,0.178331194,0.012481218,0,3.322348731,-1.006484454,,
40017301302,0.508361204,0.170371828,0.058719212,0.105033385,0.039370079,0.200668896,0.048303195,0.004185852,0.096737908,0.003762227,0.084260731,0.109300477,0.01856018,0.013498313,0.002249719,205.7530317,0.482365001,1990.160265,0.259148089,0.530455372,0.469544628,0.002558467,0.122034175,0.861737203,0.138262797,0.010146078,0.038010261,2.982894235,-1.368385115,,
40017301406,0.469965309,0.188059156,0.040849973,0.087422167,0.057712487,0.27734161,0.030043967,0.006892477,0.205141658,0.016672579,0.075406244,0.120321344,0.045120672,0.059811123,0.004197272,202.673319,0.341396406,1519.744148,0.195380241,0.570746015,0.429253985,6.67E-05,0,0.91943128,0.08056872,2.09E-04,0.036892609,2.768658999,-1.596786489,,
40017301407,0.54141198,0.243429095,0.0381644,0.07007652,0.060775862,0.289272616,0.02417154,0.004438599,0.115517241,0.0042961,0.084465262,0.121155347,0.036206897,0.03362069,0.006465517,204.0781463,0.405699979,2644.17377,0.347803712,0.63831773,0.36168227,1.71E-04,0.005108088,0.987654321,0.012345679,0.01653724,0.035194983,2.857839617,-1.501708873,,
40017301408,0.499512829,0.236115622,0.021477384,0.087547811,0.030444965,0.19324456,0.003717472,0,0.052693208,0,0.048717116,0.181227671,0.039812646,0.046838407,0,202.4723764,0.332198601,4530.992561,0.603573805,0.627041384,0.372958616,0.003498648,0.168079496,0.94736416,0.05263584,0.004476214,0.097813639,3.073085903,-1.272229593,,
40017301410,0.550678372,0.235833998,0.016813615,0.123685528,0.216134599,0.229848364,0.026219064,0,0.322691976,0.002262443,0.014640995,0.208383474,0.041846419,0.135893011,0.017687662,205.7534805,0.482385544,798.7036551,0.097638691,0.51305883,0.48694117,1.13E-04,0.00226754,0,1,0.00484197,0.037890369,4.254584804,-0.012604996,,
40027201607,0.494764398,0.18815445,0.066743763,0.094254937,0.13658147,0.361910995,0.029037728,0.017169615,0.319888179,0.009943653,0.060561056,0.19339934,0.005990415,0.011980831,0.00399361,201.8292087,0.302758697,1041.186654,0.130508778,0.546739252,0.453260748,9.73E-04,0.044386001,0.721614324,0.278385676,0.070837546,0.033178923,3.307690809,-1.02211162,,
40027201609,0.499804611,0.222938648,0.052474657,0.058127831,0.088614694,0.48339195,0.016623742,0.014007308,0.123948402,0,0.059198724,0.117201515,0.04262479,0.05159843,0,203.675662,0.387276947,1493.365112,0.191804398,0.519299993,0.480700007,6.61E-04,0.029105815,0.644733126,0.355266874,0.130202177,0.043611794,3.448523314,-0.871966675,,
